3.163718821	1.1 2 3
6.762335601	1.2 3 1
8.955056689	1.3 1 1
10.933764172	1.4 1 2
13.043854875	2.1 1 1
15.163061224	2.2 2 1
17.271269841	2.3 2 1
19.315147392	2.4 3 2
21.404875283	3.1 2 2
23.484399093	3.2 3 1
25.563877551	3.3 3 3
27.657596372	3.4 2 2
29.667936508	4.1 2 3
30.432653061	1.1 3 4
32.210430839	1.2 1 2
32.609523810	1.4 3 1
35.970476190	4.4 2 2
38.106394558	5.1 1 1
40.184353741	5.2 2 1
41.389569161	1.2 1 2
42.173242630	5.3 2 1
43.958276644	2.2 1 5
44.821768707	5.4 2 2
45.968253968	2.4 3 3
48.515215420	6.2 3 1
50.605215420	6.3 3 1
52.675555556	6.4 2 3
54.815895692	7.1 1 4
56.899569161	7.2 2 4
58.945668934	7.3 2 3
61.053537415	7.4 2 1
62.946213152	8.1 2 3
64.857278912	8.2 1 1
66.767369615	8.3 1 1
68.708117914	8.4 1 1
70.748458050	9.1 2 1
72.888911565	9.2 2 2
75.041088435	9.3 2 3
77.046848073	9.4 2 1
79.105487528	10.1 3 1
81.256757370	10.2 3 3
83.334875283	10.3 3 2
85.428911565	10.4 2 3
91.219092971	11.1 1 1
93.360249433	11.2 2 3
95.455873016	11.3 3 5
97.592789116	11.4 1 1
